Name;Longitude;Latitude
Andorra;1.52109;42.50779
United Arab Emirates;54.5;23.75
Afghanistan;66;33
Antigua and Barbuda;-61.8;17.05
Anguilla;-63.05;18.21667
Albania;20;41
Armenia;45;40.25
Angola;18.5;-12.5
Antarctica;0;-90
Argentina;-64;-34
American Samoa;-171.082;-11.056
Austria;13.33333;47.33333
Australia;135;-25
Aruba;-69.96667;12.5
Åland;20;60.25
Azerbaijan;47.5;40.5
Bosnia and Herzegovina;17.83333;44.25
Barbados;-59.53333;13.16667
Bangladesh;90;24
Belgium;4.5;50.75
Burkina Faso;-1.66667;12.5
Bulgaria;25.25;42.66667
Bahrain;50.55;26.03333
Burundi;30;-3.5
Benin;2.25;9.5
Saint Barthélemy;-62.8257;17.9
Bermuda;-64.78303;32.2949
Brunei;114.66667;4.5
Bolivia;-65;-17
Bonaire;-68.29445;12.21286
Brazil;-55;-10
Bahamas;-77.37122;25.04082
Bhutan;90.5;27.5
Bouvet Island;3.4;-54.43333
Botswana;24;-22
Belarus;28;53
Belize;-88.19756;17.49952
Canada;-113.64258;60.10867
Cocos [Keeling] Islands;96.87332;-12.1642
Democratic Republic of the Congo;23.5;-2.5
Central African Republic;21;7
Republic of the Congo;15.5;-1
Switzerland;8.01427;47.00016
Ivory Coast;-5.5;8
Cook Islands;-159.78516;-21.24842
Chile;-70.64827;-33.45694
Cameroon;12.5;6
China;105;35
Colombia;-73.25;4
Costa Rica;-84;10
Cuba;-79.5;22
Cape Verde;-24;16
Curacao;-68.96667;12.16667
Christmas Island;105.66667;-10.5
Cyprus;33;35
Czech Republic;15;49.75
Germany;10.5;51.5
Djibouti;43.14503;11.58901
Denmark;10;56
Dominica;-61.33333;15.5
Dominican Republic;-70.66667;19
Algeria;3;28
Ecuador;-78.25;-1.25
Estonia;26;59
Egypt;30;27
Western Sahara;-12.65625;24.49215
Eritrea;39;15
Spain;-4;40
Ethiopia;39.5;9
Finland;26;64
Fiji;178;-18
Falkland Islands;-59.16667;-51.75
Micronesia;158.162;6.924
Faroe Islands;-7;62
France;2;46
Gabon;11.75;-1
United Kingdom;-2.69531;54.75844
Grenada;-61.66667;12.11667
Georgia;43.4999;41.99998
French Guiana;-53;4
Guernsey;-2.57629;49.45474
Ghana;-1.2;8.1
Gibraltar;-5.35257;36.14474
Greenland;-40;72
Gambia;-15.5;13.5
Guinea;-10.66667;10.83333
Guadeloupe;-61.58333;16.25
Equatorial Guinea;10.5;1.7
Greece;22;39
South Georgia and the South Sandwich Islands;-33;-56
Guatemala;-90.51327;14.64072
Guam;144.81834;13.47861
Guinea-Bissau;-15;12
Guyana;-59;5
Hong Kong;114.15769;22.28552
Heard Island and McDonald Islands;73.50952;-53.11711
Honduras;-86.5;15
Croatia;15.5;45.16667
Haiti;-72.41667;19
Hungary;20;47
Indonesia;120;-5
Ireland;-8;53
Israel;34.75;31.5
Isle of Man;-4.48333;54.15
India;79;22
British Indian Ocean Territory;72;-6
Iraq;44;33
Iran;53;32
Iceland;-18;65
Italy;12.83333;42.83333
Jersey;-2.11667;49.21667
Jamaica;-77.25;18.16667
Jordan;36;31
Japan;139.75309;35.68536
Kenya;38;1
Kyrgyzstan;75;41.5
Cambodia;105;13
Kiribati;172.984;1.421
Comoros;44.44553;-12.23333
Saint Kitts and Nevis;-62.75;17.33333
North Korea;127;40
South Korea;127.75;36.5
Kuwait;47.97833;29.36972
Cayman Islands;-80.66667;19.5
Kazakhstan;68;48
Laos;105;18
Lebanon;35.83333;33.83333
Saint Lucia;-60.96667;13.88333
Liechtenstein;9.53333;47.16667
Sri Lanka;80.75;7.75
Liberia;-9.5;6.5
Lesotho;28.25;-29.5
Lithuania;24;55.41667
Luxembourg;6.13;49.61167
Latvia;25;57
Libya;17;28
Morocco;-6;32
Monaco;7.41667;43.73333
Moldova;28.58333;47.25
Montenegro;19.25;42.75
Saint Martin;-63.06667;18.06667
Madagascar;47;-20
Marshall Islands;171.236;7.113
Macedonia;21.75;41.66667
Mali;-2;18
Myanmar [Burma];96;21
Mongolia;105;46
Macao;113.54611;22.20056
Northern Mariana Islands;145.756;15.214
Martinique;-61;14.66667
Mauritania;-10.5;20.25
Montserrat;-62.2;16.75
Malta;14.43333;35.91667
Mauritius;57.58333;-20.3
Maldives;73;3.2
Malawi;34;-13.5
Mexico;-99.12766;19.42847
Malaysia;112.5;2.5
Mozambique;35;-18.25
Namibia;17;-22
New Caledonia;165.5;-21.5
Niger;9;18
Norfolk Island;167.95;-29.03333
Nigeria;8;10
Nicaragua;-85;13
Netherlands;5.75;52.25
Norway;10;62
Nepal;84;28
Nauru;166.933;-0.517
Niue;-169.86667;-19.03333
Oman;57;21
Panama;-79.51973;8.9936
Peru;-75.25;-10
French Polynesia;-140;-15
Papua New Guinea;147;-6
Philippines;122;13
Pakistan;70;30
Poland;20;52
Saint Pierre and Miquelon;-56.33333;46.83333
Pitcairn Islands;-130.1;-25.06667
Puerto Rico;-66.10572;18.46633
Palestine;35.20329;31.92157
Portugal;-8.13057;39.6945
Palau;134.621;7.503
Paraguay;-58;-23.33333
Qatar;51.52245;25.27932
Réunion;55.4504;-20.88231
Romania;25;46
Serbia;20.45998;44.81892
Russia;100;60
Rwanda;30;-2
Saudi Arabia;45;25
Solomon Islands;159;-8
Seychelles;55.66667;-4.58333
Sudan;30;16
Sweden;15;62
Singapore;103.85007;1.28967
Saint Helena;-5.7;-15.95
Slovenia;15;46.08333
Svalbard and Jan Mayen;20;78
Slovakia;19.5;48.66667
Sierra Leone;-11.5;8.5
San Marino;12.44639;43.93667
Senegal;-14.25;14.5
Somalia;48;6
Suriname;-56;4
South Sudan;30;7.5
São Tomé and Príncipe;7;1
El Salvador;-88.91667;13.83333
Sint Maarten;-63.06667;18.04167
Syria;38;35
Swaziland;31.5;-26.5
Turks and Caicos Islands;-71.58333;21.73333
Chad;19;15
French Southern Territories;67;-43
Togo;1.08333;8.66667
Thailand;101;15.5
Tajikistan;71;39
Tokelau;-171.83;-9.167
East Timor;125.75;-8.83333
Turkmenistan;59.66667;39.75
Tunisia;9;34
Tonga;-175;-20
Turkey;35;39
Trinidad and Tobago;-61;11
Tuvalu;179.14478;-8.51719
Taiwan;121;24
Tanzania;35;-6
Ukraine;32;49
Uganda;32.5;1.25
U.S. Minor Outlying Islands;-162.057;5.875
United States;-98.5;39.76
Uruguay;-56;-33
